AF094612	mosquito	Trinidad			1979-XX-XX	genbank import
AY572535	human	Gambia			2001-XX-XX	genbank import
AY603338		cote_d_ivoire			1999-XX-XX	genbank import
AY640589		Ghana			1927-XX-XX	genbank import
AY968064	human	Angola			1971-XX-XX	genbank import
AY968065	human	Uganda			1948-XX-XX	genbank import
DQ100292		Brazil			1927-XX-XX	genbank import
DQ235229		Ethiopia			1961-XX-XX	genbank import
JX898868	human	Senegal			1995-XX-XX	genbank import
JX898869	mosquito	cote_d_ivoire			1973-XX-XX	genbank import
JX898870	mosquito	Senegal			1996-XX-XX	genbank import
JX898871	mosquito	Senegal			1995-XX-XX	genbank import
JX898872	mosquito	Senegal			1995-XX-XX	genbank import
JX898873	mosquito	Senegal			2000-XX-XX	genbank import
JX898874	mosquito	Senegal			2000-XX-XX	genbank import
JX898875	mosquito	Senegal			2000-XX-XX	genbank import
JX898876	mosquito	Senegal			2001-XX-XX	genbank import
JX898877	mosquito	Senegal			2005-XX-XX	genbank import
JX898878	mosquito	Senegal			2005-XX-XX	genbank import
JX898879	mosquito	Senegal			1995-XX-XX	genbank import
JX898880	mosquito	Senegal			2005-XX-XX	genbank import
JX898881	mosquito	Senegal			2005-XX-XX	genbank import
KU978763	human	Nigeria			1946-XX-XX	genbank import
KU978764	human	Sudan			1941-06-06-XX-XX	genbank import
KU978765	human	Guinea-Bissau			1965-08-23-XX-XX	genbank import
HM582851	monkey	trinidad_and_tobago			2009-XX-XX	genbank import
JF912179	mosquito	Brazil			1980-XX-XX	genbank import
JF912180	human	Brazil			1981-XX-XX	genbank import
JF912181	human	Brazil			1983-XX-XX	genbank import
JF912182	human	Brazil			1984-XX-XX	genbank import
JF912183	human	Brazil			1984-XX-XX	genbank import
JF912184	human	Brazil			1987-XX-XX	genbank import
JF912185	mosquito	Brazil			1992-XX-XX	genbank import
JF912186	human	Brazil			1994-XX-XX	genbank import
JF912187	human	Brazil			2000-XX-XX	genbank import
JF912188	human	Brazil			2000-XX-XX	genbank import
JF912189	mosquito	Brazil			2001-XX-XX	genbank import
JF912190	human	Brazil			2002-XX-XX	genbank import
JN620362	human	Uganda			2010-XX-XX	genbank import
KM388814	human	Venezuela			2005-XX-XX	genbank import
KM388815	human	Venezuela			2007-XX-XX	genbank import
KM388816	monkey	Venezuela			2010-XX-XX	genbank import
KM388817	monkey	Venezuela			2004-XX-XX	genbank import
KM388818	monkey	Venezuela			2006-XX-XX	genbank import
KU921608	human	China			2016-10-03	genbank import
KU949599	human	China			2016-03-06	genbank import
KX010994	human	China			2016-03-11	genbank import
KX010995	human	China			2016-03-17	genbank import
KX010996	human	China			2016-03-18	genbank import
KX027336	human	China			2016-03-19	genbank import
KX268355	human	China			2016-03-11	genbank import
KX982182	human	Angola			2016-03-16	genbank import
KY495641	human	China			2016-03-11	genbank import
KY587416	human	China			2016-03-20	genbank import
KY873607	human	China			2016-03-21	genbank import
KY885000	monkey	Brazil	EspiritoSanto		2017-02-20	genbank import
KY885001	monkey	Brazil	EspiritoSanto		2017-02-22	genbank import
KF907504	human	Bolivia			1999-XX-XX	genbank import
YFU54798		cote_d_ivoire			1982-XX-XX	genbank import
MF004383	human	Sudan			1990-XX-XX	genbank import
