state	MinasGerais	-18.5122	-44.5550
state	Bahia	-12.5797	-41.7007
state	RioJaneiro	-22.9068	-43.1729
state	EspiritoSanto	-19.1834	-40.3089
country	Guinea-Bissau	11.8037	-15.1804
