strain	accession	date	region	regionSamp	countrySamp	country	background	authors	outbreak	undated	route
G00262	G00262	20XX-XX-XX	africa	africa	ethiopia	ethiopia	background	Gagneux	non-outbreak	undated	
G00900	G00900	20XX-XX-XX	africa	africa	ghana	ghana	background	Gagneux	non-outbreak	undated	
G00152	G00152	20XX-XX-XX	africa	africa	uganda	uganda	background	Gagneux	non-outbreak	undated	
G00866	G00866	20XX-XX-XX	africa	africa	tanzania	tanzania	background	Gagneux	non-outbreak	undated	
G00872	G00872	20XX-XX-XX	africa	africa	uganda	uganda	background	Gagneux	non-outbreak	undated	
G00873	G00873	20XX-XX-XX	africa	africa	uganda	uganda	background	Gagneux	non-outbreak	undated	
G00874	G00874	20XX-XX-XX	africa	africa	uganda	uganda	background	Gagneux	non-outbreak	undated	
G00524	G00524	2004-XX-XX	africa	europe	switzerland	cote_d_ivoire	background	Gagneux	non-outbreak	dated	
G25584	Italy_1	20XX-XX-XX	africa	europe	italy	ethiopia	Walker2018	Walker2018	non-outbreak	undated
G25585	Italy_2	20XX-XX-XX	africa	europe	italy	ethiopia	Walker2018	Walker2018	non-outbreak	undated
G25586	Italy_3	20XX-XX-XX	africa	europe	italy	ethiopia	Walker2018	Walker2018	non-outbreak	undated
G25587	Netherlands_1	20XX-XX-XX	africa	europe	netherlands	eritrea	Walker2018	Walker2018	non-outbreak	undated
G25588	Netherlands_2	20XX-XX-XX	africa	europe	netherlands	somalia	Walker2018	Walker2018	non-outbreak	undated
G25589	Netherlands_3	20XX-XX-XX	africa	europe	netherlands	somalia	Walker2018	Walker2018	non-outbreak	undated
G25590	Norway_1	20XX-XX-XX	africa	europe	norway	somalia	Walker2018	Walker2018	non-outbreak	undated
G25591	Norway_2	20XX-XX-XX	africa	europe	norway	ethiopia	Walker2018	Walker2018	non-outbreak	undated
G25592	Norway_3	20XX-XX-XX	africa	europe	norway	ethiopia	Walker2018	Walker2018	non-outbreak	undated
G25593	SW1	2015-12-03	africa	europe	switzerland	somalia	Walker2018	Walker2018	outbreak	dated	bani_waleed
G25594	SW2	2016-04-03	africa	europe	switzerland	somalia	Walker2018	Walker2018	outbreak	dated	bani_waleed
G25595	SW3	2016-05-03	africa	europe	switzerland	somalia	Walker2018	Walker2018	outbreak	dated
G25596	SW4	2016-05-03	africa	europe	switzerland	eritrea	Walker2018	Walker2018	outbreak	dated
G25597	SW5	2016-06-03	africa	europe	switzerland	ethiopia	Walker2018	Walker2018	outbreak	dated	bani_waleed
G25598	SW6	2016-04-03	africa	europe	switzerland	somalia	Walker2018	Walker2018	outbreak	dated	bani_waleed
G25599	SW7	2016-08-03	africa	europe	switzerland	ethiopia	Walker2018	Walker2018	outbreak	dated	bani_waleed
G25600	SW8	2016-09-03	africa	europe	switzerland	djibouti	Walker2018	Walker2018	outbreak	dated	bani_waleed
G25601	UK1	2017-04-03	africa	europe	united_kingdom	sudan	Walker2018	Walker2018	outbreak	dated
G25602	UK2	20XX-XX-XX	europe	europe	united_kingdom	netherlands	Walker2018	Walker2018	non-outbreak	undated
G25603	UK3	20XX-XX-XX	africa	europe	united_kingdom	ethiopia	Walker2018	Walker2018	non-outbreak	undated
